"filename", "language", "TypeScript JSX", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"e:\taroDemos\cloudmate\src\store\selectors\attandence.ts", "TypeScript", 0, 0, 4, 0, 0, 4, 8
"e:\taroDemos\cloudmate\src\store\selectors\auth.ts", "TypeScript", 0, 0, 4, 0, 0, 4, 8
"e:\taroDemos\cloudmate\src\store\selectors\chat.ts", "TypeScript", 0, 0, 0, 0, 3, 3, 6
"e:\taroDemos\cloudmate\src\store\selectors\contacts.ts", "TypeScript", 0, 0, 14, 0, 0, 6, 20
"e:\taroDemos\cloudmate\src\store\selectors\file.ts", "TypeScript", 0, 0, 3, 0, 0, 3, 6
"e:\taroDemos\cloudmate\src\store\selectors\tabbar.ts", "TypeScript", 0, 0, 2, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\store\selectors\user.ts", "TypeScript", 0, 0, 2, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\style\index.scss", "SCSS", 0, 5, 0, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\types\attandence.d.ts", "TypeScript", 0, 0, 7, 0, 0, 4, 11
"e:\taroDemos\cloudmate\src\types\auth.d.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\types\contacts.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"e:\taroDemos\cloudmate\src\types\file.d.ts", "TypeScript", 0, 0, 31, 0, 0, 11, 42
"e:\taroDemos\cloudmate\src\types\icon.d.ts", "TypeScript", 0, 0, 58, 0, 0, 5, 63
"e:\taroDemos\cloudmate\src\types\message.d.ts", "TypeScript", 0, 0, 45, 0, 0, 12, 57
"e:\taroDemos\cloudmate\src\types\profile.d.ts", "TypeScript", 0, 0, 13, 0, 0, 2, 15
"e:\taroDemos\cloudmate\src\utils\common.ts", "TypeScript", 0, 0, 26, 0, 0, 5, 31
"e:\taroDemos\cloudmate\src\utils\date.ts", "TypeScript", 0, 0, 52, 0, 7, 14, 73
"e:\taroDemos\cloudmate\src\utils\error.ts", "TypeScript", 0, 0, 6, 0, 0, 1, 7
"e:\taroDemos\cloudmate\src\utils\navigate.ts", "TypeScript", 0, 0, 12, 0, 0, 4, 16
"e:\taroDemos\cloudmate\src\utils\object.ts", "TypeScript", 0, 0, 3, 0, 0, 2, 5
"Total", "-", 4678, 2526, 3064, 17, 189, 1619, 12093
